id,content,vertical,trian,triangle,rectangle,diamond,parallel,angle
3032,在平行四线段形字母字母字母中，对角线线段、线段相交于O，线段过点O，且线段垂直线段，求证比四线段形线段是矩形．,0,0,1,0,1,0,0
3033,（2018秋海淀区校级月考）如图，点C在射线线段上，射线线段平分角字母字母字母，射线线段平分角字母字母字母，并与射线线段交于点F．（1）依题意补全图形；（2）若角字母字母字母加角O线段等于180度，求证比角线段E等于角C线段．,0,0,0,0,0,0,1
3034,（2014秋青龙县校级期中）如图，三角形字母字母字母中，角C等于90度，线段等于8厘米，线段比线段等于3比5，点P从点B以2厘米除s的速度向点C移动，点Q以1厘米除s的速度从点C向点A移动，如果点P，Q同时出发，则点P移动多少秒时三角形C线段与三角形字母字母字母相似？,0,1,0,0,0,0,0
3035,（2018春洛宁县期末）如图，在三角形字母字母字母中，角字母字母字母等于90度，四线段形字母字母字母、字母字母字母字母都是正方形．求证比线段等于EC．,0,1,1,0,0,0,0
3036,（2019宿迁）如图，矩形字母字母字母中，线段等于4，线段等于2，点E、F分别在线段、线段上，且线段等于线段等于3除2．（1）求证比四线段形线段线段是菱形；（2）求线段线段的长．,0,0,1,1,0,0,0
3037,（2018春章丘区期末）如图，已知角1等于角2，线段平分角字母字母字母，你能判定哪两条直线平行？说明理由．,0,0,0,0,0,1,0
3038,如图，直线线段、线段相交于点O，角字母字母字母等于70度，线段平分角字母字母字母，求角字母字母字母的度数．,0,0,0,0,0,0,1
3039,（2019春禅城区期末）在平行四线段形字母字母字母中，角C和角D的平分线交于M，线段的延长线交线段于E，试猜想比（1）厘米与线段的位置关系？（2）M在线段的什么位置上？并证明你的猜想．（3）若线段等于24，厘米等于5，则点M到线段的距离是多少？,0,0,0,0,1,0,1
3040,（2011秋成华区期末）如图，已知线段垂直线段于O，角字母字母字母比角C线段等于1比2．（1）若线段平分角字母字母字母，求角字母字母字母的度数；（2）若角字母字母字母的度数比角C线段的度数的3倍多30度，试判断线段与线段的位置关系，并说明理由．,1,0,0,0,0,0,1
3041,（2010安徽模拟）如图，三角形字母字母字母是等线段三角形，分别延长线段至F，线段至D，线段至E，使AF等于3线段，线段等于3线段，线段等于3线段，求证，三角形字母字母字母是等线段三角形．,0,1,0,0,0,0,0
3042,（2018春南江县期末）如图，三角形字母字母字母中，点P是线段线段上一个动点，过P作直线线段平行线段，交角字母字母字母的平分线于点E，交角字母字母字母的外角角字母字母字母平分线于点F．（1）请说明比线段等于线段；（2）当点P在线段线段上运动到何处时，四线段形线段线段是矩形？为什么？,0,0,1,0,0,0,0
3043,已知菱形字母字母字母对角线交于点O，在线段上截取线段等于线段等于线段，试说明比四线段形线段线段是正方形．,0,0,1,0,0,0,0
3044,（2016秋沈丘县期中）如图所示，直角三角形字母字母字母相似直角三角形字母字母字母，厘米、EN分别是斜线段线段、线段上的中线，已知线段等于9厘米，线段等于12厘米，线段等于3厘米．（1）求厘米和EN的长；（2）你发现厘米除EN的值与相似比有什么关系？得到什么结论？,0,1,0,0,0,0,0
3045,如图，已知HF垂直线段，线段垂直线段，角字母字母字母加角CHF等于180度，试说明线段平行线段．,1,0,0,0,0,1,0
3046,（2019秋汉滨区校级月考）等腰三角形的周长是12，一线段长是3，求三线段长．,0,1,0,0,0,0,0
3047,（2019崂山区二模）已知比四线段形字母字母字母为平行四线段形，延长线段至点B，使线段等于BA，连接线段交线段于点F，连接线段（1）求证比线段等于线段．（2）若线段等于线段，当角E等于45度时，四线段形字母字母字母为正方形请说明理由．,0,0,1,0,1,0,0
3048,已知比如图，在三角形字母字母字母中，线段等于线段，线段垂直线段，线段等于2，线段等于1，求角C的度数．,0,1,0,0,0,0,0
3049,（2016秋东莞市月考）已知，三角形字母字母字母全等三角形字母字母字母（1）求证比线段等于EC；（2）求证比线段平行线段．,0,1,0,0,0,0,0
3050,（2015厦门校级一模）如图，在四线段形字母字母字母中，线段平行线段，角字母字母字母的平分线交直线线段于点E，交直线线段于点F，若线段等于线段，求证比四线段形字母字母字母是平行四线段形．,0,0,0,0,1,0,0
3051,如图所示，三角形字母字母字母中，角C等于90度，角字母字母字母、角字母字母字母的角平分线交于O点，线段垂直线段于E，线段垂直线段于F．（1）求证比四线段形字母字母字母为正方形；（2）若线段等于3除2，求线段加线段负号线段的值．,0,0,1,0,0,0,1
3052,（2017秋亭湖区校级期中）如图，三角形字母字母字母全等三角形字母字母字母，角字母字母字母等于125度，角字母字母字母等于25度，求角字母字母字母的度数．,0,1,0,0,0,0,0
3053,如图，在四线段形字母字母字母中，线段平行线段且线段大于线段，线段等于12，蚂蚁P从点A出发，以1厘米除s的速度向点D运动，蚂蚁Q从点C出发，以2厘米除s的速度向点B运动，几秒钟后四线段形线段QB恰好为平行四线段形？,0,0,0,0,1,0,0
3054,（2014武汉模拟）如图，四线段形字母字母字母中，线段平行线段，对角线线段，线段交于点O，且线段等于线段，求证比四线段形字母字母字母是平行四线段形． ,0,1,0,0,1,0,0
3055,（2018秋永登县期末）如图，直线线段，线段相交于点O，线段平分角字母字母字母．（1）若角字母字母字母等于70度，求角字母字母字母的度数；（2）若角字母字母字母比角字母字母字母等于2比3，求角字母字母字母的度数．,0,0,0,0,0,0,1
3056,已知三角形字母字母字母相似三角形字母字母字母，线段和线段是它们的对应中线，线段除线段等于3除2，线段等于4厘米，求线段的长．,0,1,0,0,0,0,0
3057,（2019秋南岗区校级期中）在菱形字母字母字母中，P、Q分别是线段线段、线段的中点，连接线段、线段．（1）如图（1），求证比线段等于线段；（2）如图（2），连接线段、线段，在不添加任何辅助线的情况下，请直接写出图中所有的等腰三角形．,0,1,0,1,0,0,0
3058,如图所示比在菱形字母字母字母中，线段等于6．（1）三条线段线段、线段、线段的长度分别是多少？（2）对角线线段与线段有什么位置关系？（3）若角字母字母字母等于120度，求线段的长．（4）菱形字母字母字母的面积．,0,0,0,1,0,0,0
